"Y","Mdh","Fum1","Fum1a","Fum1b","Fum2","SdhA","SdhB","SdhC","SdhD","FrdA","FrdB","FrdC","FrdD","FrdE","Ppc","Pck","Pyc"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","0","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","0","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","0","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","0","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","0","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","0","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","0","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","0","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","0","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","0","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","0","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","0","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","0","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","0","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","0","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","0","0","0","1","0","0","0","0","1","1","1","1","0","1","1","0"
"1","1","0","0","0","1","0","0","0","0","1","1","1","1","0","1","1","0"
"1","1","0","0","0","1","0","0","0","0","1","1","1","1","0","1","1","0"
"1","1","0","0","0","1","0","0","0","0","1","1","1","1","0","1","1","0"
"1","1","0","0","0","1","0","0","0","0","1","1","1","1","0","1","1","0"
"1","1","0","0","0","1","0","0","0","0","1","1","1","1","0","1","1","0"
"1","1","0","0","0","1","0","0","0","0","1","1","1","1","0","1","1","0"
"1","1","0","0","0","1","0","0","0","0","1","1","1","1","0","1","1","0"
"1","1","0","0","0","1","0","0","0","0","1","1","1","1","0","1","1","0"
"1","1","0","0","0","1","0","0","0","0","1","1","1","1","0","0","1","0"
"1","1","0","0","0","1","0","0","0","0","1","1","1","1","0","1","1","0"
"1","1","0","0","0","1","0","0","0","0","1","1","1","1","0","1","1","0"
"1","1","0","0","0","1","0","0","0","0","1","1","1","1","0","1","1","0"
"1","1","0","0","0","1","0","0","0","0","1","1","1","1","0","1","1","0"
"1","1","0","0","0","1","0","0","0","0","1","1","1","1","0","1","1","0"
"1","1","0","0","0","1","0","0","0","0","1","1","1","1","0","1","1","0"
"1","1","0","0","0","1","0","0","0","0","1","1","1","1","0","1","1","0"
"1","1","0","0","0","1","0","0","0","0","1","1","1","1","0","1","1","0"
"1","1","0","0","0","1","0","0","0","0","1","1","1","1","0","1","1","0"
"1","1","0","0","0","1","0","0","0","0","1","1","1","1","0","1","1","0"
"1","1","0","0","0","1","0","0","0","0","1","1","1","1","0","1","1","0"
"1","1","0","0","0","1","0","0","0","0","1","1","1","1","0","1","1","0"
"1","1","0","0","0","1","0","0","0","0","1","1","1","1","0","1","1","0"
"1","1","0","0","0","1","0","0","0","0","1","1","1","1","0","1","1","0"
"1","1","0","0","0","1","0","0","0","0","1","1","1","1","0","1","1","0"
"1","1","0","0","0","1","0","0","0","0","1","1","1","1","0","0","1","0"
"1","1","0","0","0","1","0","0","0","0","1","1","1","1","0","0","1","0"
"1","1","0","0","0","1","0","0","0","0","1","1","1","1","0","0","1","0"
"1","1","0","0","0","1","0","0","0","0","1","1","1","1","0","1","1","0"
"1","1","0","0","0","1","0","0","0","0","1","1","1","1","0","1","1","0"
"1","1","0","0","0","1","0","0","0","0","1","1","1","1","0","1","1","0"
"1","1","0","0","0","1","0","0","0","0","1","1","1","1","0","1","1","0"
"1","1","0","0","0","1","0","0","0","0","1","1","1","1","0","1","1","0"
"1","1","0","0","0","1","0","0","0","0","1","1","1","1","0","1","1","0"
"1","1","0","0","0","1","0","0","0","0","1","1","1","1","0","1","1","0"
"1","1","1","0","0","0","0","0","0","0","1","1","0","1","0","0","1","0"
"1","1","1","0","0","0","0","0","0","0","1","1","1","1","0","0","1","0"
"1","1","1","0","0","1","1","1","1","0","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","1"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","0","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","0","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","1"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","1"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","1"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","1"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","0","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","0","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","0","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","0","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","0","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","0","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","0","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","0","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","0","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","0","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","0","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","0","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","0","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","0","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","0","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","0","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","0","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","0","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","0","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","0","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","0","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","0","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","0","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","0","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","0","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","0","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","0","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","0","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","0","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","0","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","0","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","0","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","0","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","0","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","0","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","0","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","0","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","0","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","0","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","0","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","0","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0"
"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0"
"1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","0"
